Iteration	DVFS_Norm	EE_Norm
0	1.0004761905	0.7888070899
1	0.8091385055	0.7870028746
2	0.8091385055	0.701910433
3	0.8091385055	0.9643739443
4	0.8567348881	0.8532122056
5	0.8091385055	0.7586943405
6	0.8091385055	0.9529867476
7	0.8567348881	0.9604091132
8	0.8567348881	0.6771425359
9	0.8091385055	0.6948159719
10	0.8091385055	1.1083975519
11	0.8567348881	0.7491493733
12	0.8091385055	0.7102191332
13	0.8091385055	1.0480244493
14	0.8567348881	0.8504709615
15	0.8091385055	0.7205242251
16	0.8091385055	0.8867149092
17	0.8567348881	0.9706927573
18	0.8567348881	0.7318640414
19	0.8091385055	0.7127260037
20	0.8091385055	0.9207402558
21	0.8567348881	0.7349202479
22	0.8091385055	0.7853736169
23	0.8091385055	0.8137930688
24	0.8091385055	0.239595387
25	0.9043312708	0.3934146538
26	0.9043312708	0.821401815
27	0.8091385055	0.8910249393
28	0.8567348881	0.7983566497
29	0.8091385055	0.9184053969
30	0.8567348881	0.8130376448
31	0.8091385055	0.7607232491
32	0.8091385055	0.861915126
33	0.8091385055	0.7851735044
34	0.8091385055	0.7791699795
35	0.8091385055	0.943566205
36	0.8567348881	0.7535933576
37	0.8091385055	0.9833865182
38	0.8567348881	0.7316851501
39	0.8091385055	0.6643679041
40	0.8091385055	0.6738370764
41	0.8091385055	1.0346488605
42	0.8567348881	0.689367829
43	0.8091385055	0.6377032348
44	0.8091385055	0.9475785881
45	0.8567348881	0.8380095154
46	0.8091385055	0.6603791869
47	0.8091385055	0.9056621867
48	0.8567348881	0.8291792943
49	0.8091385055	0.6626591389
50	0.8091385055	0.6750430027
51	0.8091385055	0.9518046753
52	0.8567348881	0.7032899567
53	0.8091385055	0.6809134649
54	0.8091385055	0.9928760173
55	0.8567348881	0.566255623
56	0.8091385055	0.5631061067
57	0.8091385055	0.671871505
58	0.8091385055	0.5692320322
